Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Message Type,Navigation Message (Hex),Modified
-4000,11,11,302396.000,2364,4,2C149E3F 24E57BFD 74079027 22E048C6 FD204ED4 6A4ECED2 973184C6 F14B50DC 6410C4A5 C3E91A1F 2C8E957C 30C0B16F D4259FD0 86D243B4 6E1274AA 03224E5E 61BE48D5 5A0C5166 99314D65 15FB1B82 B0A1A104 BDC63902 840E7AC0 0848EE9A 43AD8EE9 601C9690 168414F3 104879A6 D2C84069 E749C043 0160A407 DC3F4A08 256AE080 16735305 484B7514 00808197 090C03E2 80C41302 6C030958 599040D0 D761070D E0485046 D3AA3806 650C9C30 5A57D46C 0488D0AE 50009AD3 078D0D2C 8D18D892 4954A908 2224E8B8 812AC4A5 0C6C61A0 3887D0F7 048852BA E92A8430 F9000000,No
-4000,12,12,302396.000,2364,4,32C14E3F 24E57BFD 7406F123 6AA0EE44 B4224CDD 4805EE54 5518B08C DC5B09B8 44C1C814 89A9188E 582E4634 2582F579 9431BB81 E2F402F1 7811012A 81435A0C 601C1380 DE177176 90704B26 54DF12C7 B2A1C020 2CE32B02 A92C22C1 0880FF1A 03E419E0 641CCDE0 14C63D74 1A4C5D7D D2484125 D540C071 DB542447 B5BF4B04 357890B0 055E534C 05597E40 84D084A4 0B4901B1 90F49067 6E024858 C38062D0 97530724 66DA7046 C8EE9E04 058E9560 585EF8FA 068866BD 202480D3 14874D9E 1658DC83 2144A948 2236F89C 804F40AD 484CF0C0 0C849C51 0688722A 89BEC53C 78000000,No
-4000,13,13,302396.000,2364,4,37E7163F 24E57BFD 74079821 60C06A84 B4874DFC 4C15EA66 C6190284 9D7D90C8 6042C1B7 8ACC385D 1DB8C451 0398DC4D 1D312950 C6761994 4A1361B8 5A025E15 45880BA5 E8441075 915D7FAC 105DD3CA 30F9C812 34D2BFC2 8DB838AC 3A92EA3A C2898CA0 6D0A17E4 14563D67 09696FF6 A66E5064 E749E953 0A040257 D5AC0A65 31EA9036 D657C547 6C6DEC00 B2DB8523 0B09B1A0 D062C94B 6E0208EA 5B8052D0 FFD00464 C6495060 D08BA806 25885510 7A5CB56D 0CA0E0BF 50161096 168C64BE 0E385E03 6C45A260 1264D8AA 036252A7 486C31F0 980798C7 0DC87679 B92C0674 4F000000,No
-4000,14,14,302396.000,2364,4,388DFE3F 24E57BFD 7407D131 7AA06A84 FD2547BD 6E85EEC0 57791186 B0790B88 D052CCA5 89840C87 181C4735 1082D47F C7519992 C76302D8 4802509C 5866DE07 44084394 48477967 8A147FBE 15FB48E7 01A1C514 2693AD43 E80B2AE4 3E4BCEAA 038CABFA 651C17E0 341731F6 006D6DFD F6CA114C 740BE563 52500656 D18B0964 13E38422 163B7146 6C6DBE00 0643CC37 096021AA 80D20166 EC03614A 03F06650 97F40744 E2535062 CACFAA06 04AC1410 5E5CF169 04A0C6A4 702210DF 978D2408 45287A03 45E0A960 0476A89E 4126D4AF 244A62B0 3A85B446 07EC64BB 98880430 FA000000,No
-4000,16,16,302396.000,2364,4,43DABE3F 24E57BFD 740CF435 F3F06A85 F4A247DC 7A85BA72 573CA284 DC69D8F8 D4D2E890 8BC51ECC 6838C411 8680D84D 9D40B983 E3D6529C CC12349C 4323FB17 443A8AA4 784E54C0 C855DD34 447B4982 A0B0E4B6 2DB2BF52 80B931C5 2A9ADAA8 43853AB1 61080FF5 161515E7 126549B6 D27ED245 674AE555 5A20A2D4 D4894960 357A90A2 165A640D 654DFE00 B6C9C586 032CA339 C0C0584A 5D0349FA 5BA060D9 B3D50665 E4812062 51CB9A04 25AA9570 DC44B9DF 04A15066 400603B6 B4856538 8618DE00 41C0A920 103E888E 410657AC 647EE3F0 BA069CE5 0DEC60AA D80C0710 6C000000,No
-4000,19,19,302396.000,2364,4,4CB0563F 24E57BFD 7406DC21 F3E04C94 F5844DF0 5A44EE42 44318084 BC4B8398 74C0E513 83842E54 083C1411 0680D179 87419D0B CBF70899 7A12701C C94FFF0F 45AADBC4 F85434E3 81544DFE 747940CA B3A1C4B2 B6F63F42 840C6AC4 1E5BCB2A 408C3FF1 40288EA4 06077464 08486B66 B6E80045 D442C055 58703487 992B434C 0133C410 C4167247 406D6500 8493AC23 0904072B 8054810A 5D01205C 80C052CB 9BD4052D 42412064 CACBB806 248C8F60 7E57F57F 04A042ED 101213F6 928C24B8 0D084A10 6047A060 2237D80A 4042C6AE 606C6BD0 0E859955 0CE066E0 A91C8519 5B000000,No
-4000,20,20,302396.000,2364,4,5265863F 24E57BFD 7406F433 62A06C85 FC154DF9 4A4FCEE0 C45D158E 995B99E8 70D1ECA1 83812E47 481CC439 B6829C7D 84113D4B 8E40099D C8121088 C30BD90E 058A90C4 EC4F3153 8A15CF66 05FF50AF A6A88524 2EC2BF51 A1B92BC4 3859ABAA 01EC19FB 441E1F94 06465C60 5B685F7F 82DA0345 530BE057 58643684 993B4068 1571B416 C577C704 2C692F44 B2408104 032807EA A0721103 C800485E 939066C9 BB470724 E4504066 41878D04 04984F70 7C5D99DF 06A0C2FF 101211BF 3386243E 5448CA10 2C57A860 16BFC8AA 4167F4AE 606AFAD0 2E86B9D5 04A460AB C9B8855C EB000000,No
-4000,21,21,302396.000,2364,4,5743DE3F 24E57BFD 740FD823 F0D04C05 B12145F8 6CCEEE46 8718178C B57F53C8 70D3C985 89EC3885 583A561D 838ABD49 0F013F9B AAC409FC ECC9302E 404EDE06 24381AA4 EE577D41 9935CD6D 00594AC2 85E1C424 67C3AB43 E52862E5 3A92BB28 03A4B8E8 452A07E5 36571DD7 0B6D7BE6 867A1020 F049E551 48302656 F08E0169 31F8E412 5476D004 6D6B2E10 8651E414 00600762 E0525003 5D03405C 4BA0424B 93C5046D F4097046 42A71F04 451ADE30 5846B4FC 04A0D434 40120BD6 1584240A 0D58CA11 00F6AA60 26BE888A 400F46A4 605C61A0 AA85BCC0 06E86021 B808455D D8000000,No
-4000,22,22,302396.000,2364,4,5829363F 24E57BFD 740DFC25 32A04EC6 919647D4 5A96FEE6 175C0186 984FC0F8 F4D2E895 8BA91CD4 78BEC45D 9580B55B 8C31BFDB 87D309F9 DE9B202E D82AED04 65AC89E4 4A5755D3 91746927 615F50E6 37A8A5B0 75A79951 ED0F3085 2AD29B9A 41C028B8 602E1CF4 16065152 5B486DAE C6780265 740AC045 1B702406 981A0A4C 113BC0A0 8537E24D 4D59A570 9082C087 034035B2 D0F04343 4E00617E 899054CB B667056C D4C00040 48A39C04 64BCDE30 7855914A 06A1622F 403202D2 008625A8 9528CA03 04C7A860 14F6C80A 030E70A4 605A62D0 AAC7D5E6 0EE046F9 D828C65C 5D000000,No
-4000,23,23,302396.000,2364,4,5D0F6E3F 24E57BFD 7404B817 F290CEC4 B4024DD8 5A4FCE76 D63D8087 947D81D8 F403C903 82A02C1D 282E0519 2681F9E9 5F618B0B 8BD219F8 6C8030AE 50264E04 650C02F4 7E451944 8275EBFD 24CF4382 82F9A400 AC873D41 E1B86385 0A1BCF08 43E028F1 443A1CD1 24455D50 4B6C6DF5 E2FA4165 D101E875 D064A687 99BA4128 2728D496 171EE04E 284BA440 16D3E984 016801E9 D0660162 4E0228D8 01A05248 B2D3054D 509A4042 C0E6BC06 24089E00 5E46B1EA 06A1D6FF 000601B7 21856428 CF187E12 24F0A220 14F5B88A 424243AD 6048B980 3E87DD57 0DE464E2 A93E445C 5F000000,No
